Attribute,Description,Value,Meaning
,,4,increased activity within the last 12 months
,,5,slightly increased activity within the last 12 months
,,6,activity elder than 1 year
,,7,"activity elder than 1,5 years"
,,8,activity elder than 2 years
,,9,activity elder than 3 years
,,10,no transactions known
D19_VERSAND_OFFLINE_DATUM,actuality of the last transaction for the segment mail-order OFFLINE,1,highest activity within the last 12 months
,,2,very high activity within the last 12 months
,,3,high activity within the last 12 months
,,4,increased activity within the last 12 months
,,5,slightly increased activity within the last 12 months
,,6,activity elder than 1 year
,,7,"activity elder than 1,5 years"
,,8,activity elder than 2 years
,,9,activity elder than 3 years
,,10,no transactions known
D19_VERSAND_ONLINE_DATUM,actuality of the last transaction for the segment mail-order ONLINE,1,highest activity within the last 12 months
,,2,very high activity within the last 12 months
,,3,high activity within the last 12 months
,,4,increased activity within the last 12 months
,,5,slightly increased activity within the last 12 months
,,6,activity elder than 1 year
,,7,"activity elder than 1,5 years"
,,8,activity elder than 2 years
,,9,activity elder than 3 years
,,10,no transactions known
D19_VERSAND_ONLINE_QUOTE_12,amount of online transactions within all transactions in the segment mail-order ,0,no Online-transactions within the last 12 months
,,1,10% Online-transactions within the last 12 months
,,2,20% Online-transactions within the last 12 months
,,3,30% Online-transactions within the last 12 months
,,4,40% Online-transactions within the last 12 months
,,5,50% Online-transactions within the last 12 months
,,6,60% Online-transactions within the last 12 months
,,7,70% Online-transactions within the last 12 months
,,8,80% Online-transactions within the last 12 months
,,9,90% Online-transactions within the last 12 months
,,10,100% Online-transactions within the last 12 months
D19_VERSAND_REST_RZ,transactional activity based on the product group FURTHER MAIL-ORDER ARTICLES,0,no transaction known
, - on grid level -,1,Multibuyer 0-12 months
,,2,Doublebuyer 0-12 months
,,3,Singlebuyer 0-12 months
,,4,Multi-/Doublebuyer 13-24 months
,,5,Singlebuyer 13-24 months
,,6,Buyer > 24 months
,,7,Prospects > 24 months
D19_VERSICHERUNGEN_RZ,transactional activity based on the product group INSURANCES,0,no transaction known
, - on grid level -,1,Multibuyer 0-12 months
,,2,Doublebuyer 0-12 months
,,3,Singlebuyer 0-12 months
,,4,Multi-/Doublebuyer 13-24 months
,,5,Singlebuyer 13-24 months
,,6,Buyer > 24 months
,,7,Prospects > 24 months
D19_VERSI_ANZ_12,transaction activity INSURANCE in the last 12 months,0,no transactions known
,,1,very low activity
,,2,low activity
,,3,slightly increased activity
,,4,increased activity
,,5,high activity
,,6,very high activity
D19_VERSI_ANZ_24,transaction activity INSURANCE in the last 24 months,0,no transactions known
,,1,very low activity
,,2,low activity
,,3,slightly increased activity
,,4,increased activity
,,5,high activity
,,6,very high activity
D19_VOLLSORTIMENT_RZ,transactional activity based on the product group COMPLETE MAIL-ORDER OFFERS,0,no transaction known
, - on grid level -,1,Multibuyer 0-12 months
,,2,Doublebuyer 0-12 months
,,3,Singlebuyer 0-12 months
,,4,Multi-/Doublebuyer 13-24 months
,,5,Singlebuyer 13-24 months
,,6,Buyer > 24 months
,,7,Prospects > 24 months
D19_WEIN_FEINKOST_RZ,transactional activity based on the product group WINE AND GOURMET FOOD,0,no transaction known
, - on grid level -,1,Multibuyer 0-12 months
,,2,Doublebuyer 0-12 months
,,3,Singlebuyer 0-12 months
,,4,Multi-/Doublebuyer 13-24 months
,,5,Singlebuyer 13-24 months
,,6,Buyer > 24 months
,,7,Prospects > 24 months
EWDICHTE,density of inhabitants per square kilometer,-1,unknown
,,1,less than 34 HH/km²
,,2,34 - 89 HH/km²
,,3,90 - 149 HH/km²
,,4,150 - 319 HH/km²
,,5,320 - 999 HH/km²
,,6,more than 999 HH/²
FINANZTYP,best descirbing financial type for the person,-1,unknown
,,1,low finacial interest
,,2,money saver
,,3,main focus is the own house
,,4,be prepared
,,5,Investor
,,6,unremarkable
FINANZ_ANLEGER,financial typology: investor,-1,unknown
,,1,very high
,,2,high
,,3,average
,,4,low
,,5,very low
FINANZ_HAUSBAUER,financial typology: main focus is the own house,-1,unknown
,,1,very high
,,2,high
,,3,average
,,4,low
,,5,very low
FINANZ_MINIMALIST,financial typology: low financial interest,-1,unknown
,,1,very high
,,2,high
,,3,average
,,4,low
,,5,very low
FINANZ_SPARER,financial typology: money saver,-1,unknown
,,1,very high
,,2,high
,,3,average
,,4,low
,,5,very low
FINANZ_UNAUFFAELLIGER,financial typology: unremarkable,-1,unknown
,,1,very high
,,2,high
,,3,average
,,4,low
,,5,very low
FINANZ_VORSORGER,financial typology: be prepared,-1,unknown
,,1,very high
,,2,high
,,3,average
,,4,low
,,5,very low
GEBAEUDETYP,type of building (residential or commercial),"-1, 0",unknown
,,1,residental building
,,2,residental building buildings without actually known household
,,3,mixed (=residential and company) building 
,,4,mixed building without actually known household or comapny 
,,5,company building w/o known company 
,,6,mixed building without actually known household 
,,7,company building
,,8,mixed building without actually known company 
GEBAEUDETYP_RASTER,industrial areas,1,business cell
,,2,mixed cell with high business share
,,3,mixed cell with middle business share
,,4,mixed cell with low business share
,,5,residential cell
GEBURTSJAHR,year of birth,…,numeric value
GFK_URLAUBERTYP,vacation habits,1,Event travelers
,,2,Family-oriented vacationists
,,3,Winter sportspeople
,,4,Culture lovers
,,5,Nature fans
,,6,Hiker
,,7,Golden ager
,,8,Homeland-connected vacationists 
,,9,Package tour travelers
,,10,Connoisseurs
,,11,Active families
,,12,without vacation
GEOSCORE_KLS7,microgeographical risk index concerning population solvency,"-1, 0",unknown
,,1,almost no risk
,,2,risk below average
,,3,risk slightly below average
,,4,average risk
,,5,risk slightly above average
,,6,risk above average
,,7,highest risk
GREEN_AVANTGARDE,Green avantgarde,0,doesn't belong to the green avantgarde
,the environmental sustainability is the dominating movement in the youth of these consumers,1,belongs to the green avantgarde
HAUSHALTSSTRUKTUR,"structure of the household (single-hh, couple with different surnames, family,...)","-1, 0",unknown
,,1,"single-person-houshold, male, w/o child "
,,2,"single-person-houshold, female, w/o child "
,,3,"single-person-houshold, w/ child"
,,4,more-person-household with similar title and dissimilar surname (indication of flat share or similar) 
,,5,more-person-household with similar title and similar surname (indication of generation-HH or similar) 
,,6,"more-person-household with dissimilar title and dissimilar surname w/o child (married couples, flat sharing or respectively couples with dissimal surname w/o child)  "
,,7,more-person-household with dissimilar title and similar surname w/o child (families w/o child) 
,,8,"more-person-household with dissimilar title and dissimilar surname w child (married couples, flat sharing or respectively couples with dissimal surname w child) "
,,9,more-person-household with dissimilar title and similar surname w child (family w child) 
HEALTH_TYP,health typology,-1,unknown
,,0,classification not possible
,,1,critical reserved 
,,2,sanitary affine  
,,3,jaunty hedonists 
HH_EINKOMMEN_SCORE,estimated household net income ,"-1, 0",unknown
,,1,highest income
,,2,very high income
,,3,high income
,,4,average income
,,5,lower income
,,6,very low income
INNENSTADT,distance to the city centre,-1,unknown
,,1,city centre
,,2,distance to the city centre 3 km
,,3,distance to the city centre 3-5 km
,,4,distance to the city centre 5-10 km
,,5,distance to the city centre 10-20 km
,,6,distance to the city centre 20-30 km
,,7,distance to the city centre 30-40 km
,,8,distance to the city centre > 40 km
KBA05_ALTER1,share of car owners less than 31 years old,"-1, 9",unknown
,,0,none
,,1,low
,,2,average
,,3,high
,,4,very high
KBA05_ALTER2,share of car owners inbetween 31 and 45 years of age,"-1, 9",unknown
,,1,very low
,,2,low
,,3,average
,,4,high
,,5,very high
KBA05_ALTER3,share of car owners inbetween 45 and 60 years of age,"-1, 9",unknown
,,1,very low
,,2,low
,,3,average
,,4,high
,,5,very high
KBA05_ALTER4,share of cars owners elder than 61 years,"-1, 9",unknown
,,0,none
,,1,very low
,,2,low
,,3,average
,,4,high
,,5,very high
KBA05_ANHANG,share of trailers in the microcell,"-1, 9",unknown
,,0,none
,,1,some
,,2,some more
,,3,very many
KBA05_ANTG1,number of 1-2 family houses in the cell,-1,unknown
,,0,no 1-2 family homes
,,1,lower share of 1-2 family homes
,,2,average share of 1-2 family homes
,,3,high share of 1-2 family homes
,,4,very high share of 1-2 family homes
KBA05_ANTG2,number of 3-5 family houses in the cell,-1,unknown
,,0,no 3-5 family homes
,,1,lower share of 3-5 family homes
,,2,average share of 3-5 family homes
,,3,high share of 3-5 family homes
,,4,very high share of 3-5 family homes
KBA05_ANTG3,number of 6-10 family houses in the cell,-1,unknown
,,0,no 6-10 family homes
,,1,lower share of 6-10 family homes
,,2,average share of 6-10 family homes
,,3,high share of 6-10 family homes
KBA05_ANTG4,number of >10 family houses in the cell,-1,unknown
,,0,no >10 family homes
,,1,lower share of >10 family homes
,,2,high share of >10 family homes
KBA05_AUTOQUOT,share of cars per household,1,very low car quote
,,2,low car quote
,,3,average car quote
,,4,high car quote
,,5,very high car quote
,,"-1, 9",unknown
KBA05_BAUMAX,most common building-type within the cell,"-1, 0",unknown
,,1,mainly 1-2 family homes in the microcell
,,2,mainly 3-5 family homes in the microcell
,,3,mainly 6-10 family homes in the microcell
,,4,mainly>10 family homes in the microcell
,,5,mainly business buildings in the microcell
KBA05_CCM1,share of cars with less than 1399ccm,"-1, 9",unknown
,,1,very low
,,2,low
,,3,average
,,4,high
,,5,very high
KBA05_CCM2,share of cars with 1400ccm to 1799 ccm,"-1, 9",unknown
,,1,very low
,,2,low
,,3,average
,,4,high
,,5,very high
KBA05_CCM3,share of cars with 1800ccm to 2499 ccm,"-1, 9",unknown
,,1,very low
,,2,low
,,3,average
,,4,high
,,5,very high
KBA05_CCM4,share of cars with more than 2499ccm,"-1, 9",unknown
,,0,none
,,1,low
,,2,average
,,3,high
,,4,very high
KBA05_DIESEL,share of cars with Diesel-engine in the microcell,"-1, 9",unknown
,,0,none
,,1,very low
,,2,low
,,3,average
,,4,high
KBA05_FRAU,share of female car owners,"-1, 9",unknown
,,1,very low
,,2,low
,,3,average
,,4,high
,,5,very high
KBA05_GBZ,number of buildings in the microcell,"-1, 0",unknown
,,1,1-2 buildings
,,2,3-4 buildings
,,3,5-16 buildings
,,4,17-22 buildings
,,5,>=23 buildings
KBA05_HERST1,"share of top German manufacturer (Mercedes, BMW) ","-1, 9",unknown
,,0,none
,,1,very low
,,2,low
,,3,average
,,4,high
,,5,very high
KBA05_HERST2,share of Volkswagen-Cars (including Audi),"-1, 9",unknown
,,0,none
,,1,very low
,,2,low
,,3,average
,,4,high
,,5,very high
KBA05_HERST3,share of Ford/Opel,"-1, 9",unknown
,,0,none
,,1,very low
,,2,low
,,3,average
,,4,high
,,5,very high
KBA05_HERST4,"share of European manufacturer (e.g. Fiat, Peugeot, Rover,...)","-1, 9",unknown
,,0,none
,,1,very low
,,2,low
,,3,average
,,4,high
,,5,very high
KBA05_HERST5,"share of asian manufacturer (e.g. Toyota, Kia,...)","-1, 9",unknown
,,0,none
,,1,very low
,,2,low
,,3,average
,,4,high
,,5,very high
KBA05_HERSTTEMP,development of the most common car manufacturers in the neighbourhood,"-1, 9",unknown
,,1,promoted
,,2,stayed upper level
,,3,stayed lower/average level
,,4,demoted
,,5,new building
KBA05_KRSAQUOT,share of cars per household (reffered to county average),"-1, 9",unknown
,,1,way below average
,,2,below average
,,3,average
,,4,above average
,,5,way above average
KBA05_KRSHERST1,share of Mercedes/BMW (reffered to the county average),"-1, 9",unknown
,,1,way below average
,,2,below average
,,3,average
,,4,above average
,,5,way above average
KBA05_KRSHERST2,share of Volkswagen (reffered to the county average),"-1, 9",unknown
,,1,way below average
,,2,below average
,,3,average
,,4,above average
,,5,way above average
KBA05_KRSHERST3,share of Ford/Opel (reffered to the county average),"-1, 9",unknown
,,1,way below average
,,2,below average
,,3,average
,,4,above average
,,5,way above average
KBA05_KRSKLEIN,share of small cars (referred to the county average),"-1, 9",unknown
,,1,below average
,,2,average
,,3,above average
KBA05_KRSOBER,share of upper class cars (referred to the county average),"-1, 9",unknown
,,1,below average
,,2,average
,,3,above average
KBA05_KRSVAN,share of vans (referred to the county average),"-1, 9",unknown
,,1,below average
,,2,average
,,3,above average
KBA05_KRSZUL,share of newbuilt cars (referred to the county average),"-1, 9",unknown
,,1,below average
,,2,average
,,3,above average
KBA05_KW1,share of cars with less than 59 KW engine power,"-1, 9",unknown
,,1,very low
,,2,low
,,3,average
,,4,high
,,5,very high
KBA05_KW2,share of cars with an engine power between 60 and 119 KW,"-1, 9",unknown
,,1,very low
,,2,low
,,3,average
,,4,high
,,5,very high
KBA05_KW3,share of cars with an engine power of more than 119 KW,"-1, 9",unknown
,,0,none
,,1,low
,,2,average
,,3,high
,,4,very high
KBA05_MAXAH,most common age of car owners in the microcell,"-1, 9",unknown
,,1,below 30 years
,,2,30 - 40 years
,,3,40 - 50 years
,,4,50 - 60 years
,,5,elder than 60 years
KBA05_MAXBJ,most common age of the cars in the microcell,"-1, 9",unknown
,,1,before 1994
,,2,1994 - 1997
,,3,1998 - 2000
,,4,since 2001
KBA05_MAXHERST,most common car manufacturer in the microcell,"-1, 9",unknown
,,1,Top-German
,,2,VW-Audi
,,3,Ford/Opel
,,4,European
,,5,Asian
KBA05_MAXSEG,most common car segment in the microcell,"-1, 9",unknown
,,1,small car
,,2,lower middleclass car
,,3,middle class car
,,4,upper class car
KBA05_MAXVORB,most common preowner structure in the microcell,"-1, 9",unknown
,,1,no preowner
,,2,1 preowner
,,3,2 or more preowner
KBA05_MOD1,share of upper class cars (in an AZ specific definition),"-1, 9",unknown
,,0,none
,,1,low
,,2,average
,,3,high
,,4,very high
KBA05_MOD2,share of middle class cars (in an AZ specific definition),"-1, 9",unknown
,,1,very low
,,2,low
,,3,average
,,4,high
,,5,very high
KBA05_MOD3,share of Golf-class cars (in an AZ specific definition),"-1, 9",unknown
,,1,very low
,,2,low
,,3,average
,,4,high
,,5,very high
KBA05_MOD4,share of small cars (in an AZ specific definition),"-1, 9",unknown
,,0,none
,,1,very low
,,2,low
,,3,average
,,4,high
,,5,very high
KBA05_MOD8,share of vans (in an AZ specific definition),"-1, 9",unknown
,,0,none
,,1,low
,,2,average
,,3,high
KBA05_MODTEMP,development of the most common car segment in the neighbourhood,"-1, 9",unknown
,,1,promoted
,,2,stayed upper level
,,3,stayed lower/average level
,,4,demoted
,,5,new building
KBA05_MOTOR,most common engine size in the microcell,"-1, 9",unknown
,,1,very small engine
,,2,small engine
,,3,average engine
,,4,big engine
KBA05_MOTRAD,share of motorcycles per household,"-1, 9",unknown
,,0,none
,,1,some
,,2,some more
,,3,very many
KBA05_SEG1,share of very small cars (Ford Ka etc.) in the microcell,"-1, 9",unknown
,,0,none
,,1,low
,,2,average
,,3,high
KBA05_SEG10,"share of more specific cars (Vans, convertables, all-terrains, MUVs etc.)","-1, 9",unknown
,,0,none
,,1,very low
,,2,low
,,3,average
,,4,high
KBA05_SEG2,"share of small and very small cars (Ford Fiesta, Ford Ka etc.) in the microcell","-1, 9",unknown
,,1,very low
,,2,low
,,3,average
,,4,high
,,5,very high
KBA05_SEG3,share of lowe midclass cars (Ford Focus etc.) in the microcell,"-1, 9",unknown
,,1,very low
,,2,low
,,3,average
,,4,high
,,5,very high
KBA05_SEG4,share of middle class cars (Ford Mondeo etc.) in the microcell,"-1, 9",unknown
,,1,very low
,,2,low
,,3,average
,,4,high
,,5,very high
KBA05_SEG5,"share of upper middle class cars and upper class cars (BMW5er, BMW7er etc.)","-1, 9",unknown
,,0,none
,,1,very low
,,2,low
,,3,average
,,4,high
KBA05_SEG6,share of upper class cars (BMW 7er etc.) in the microcell,"-1, 9",unknown
,,0,none
,,1,some
KBA05_SEG7,share of all-terrain vehicles and MUVs in the microcell,"-1, 9",unknown
,,0,none
,,1,low
,,2,average
,,3,high
KBA05_SEG8,share of roadster and convertables in the microcell,"-1, 9",unknown
,,0,none
,,1,low
,,2,average
,,3,high
KBA05_SEG9,share of vans in the microcell,"-1, 9",unknown
,,0,none
,,1,low
,,2,average
,,3,high
KBA05_VORB0,share of cars with no preowner,"-1, 9",unknown
,,1,very low
,,2,low
,,3,average
,,4,high
,,5,very high
KBA05_VORB1,share of cars with one or two preowner,"-1, 9",unknown
,,1,very low
,,2,low
,,3,average
,,4,high
,,5,very high
KBA05_VORB2,share of cars with more than two preowner,"-1, 9",unknown
,,0,none
,,1,very low
,,2,low
,,3,average
,,4,high
,,5,very high
KBA05_ZUL1,share of cars built before 1994,"-1, 9",unknown
,,1,very low
,,2,low
,,3,average
,,4,high
,,5,very high
KBA05_ZUL2,share of cars built between 1994 and 2000,"-1, 9",unknown
,,1,very low
,,2,low
,,3,average
,,4,high
,,5,very high
KBA05_ZUL3,share of cars built between 2001 and 2002,"-1, 9",unknown
,,0,none
,,1,very low
,,2,low
,,3,average
,,4,high
,,5,very high
KBA05_ZUL4,share of cars built from 2003 on,"-1, 9",unknown
,,0,none
,,1,very low
,,2,low
,,3,average
,,4,high
,,5,very high
KBA13_ALTERHALTER_30,share of car owners below 31 within the PLZ8,-1,unknown
,,0,none
,,1,very low
,,2,low
,,3,average
,,4,high
,,5,very high
KBA13_ALTERHALTER_45,share of car owners between 31 and 45 within the PLZ8,-1,unknown
,,0,none
,,1,very low
,,2,low
,,3,average
,,4,high
,,5,very high
KBA13_ALTERHALTER_60,share of car owners between 46 and 60 within the PLZ8,-1,unknown
,,0,none
,,1,very low
,,2,low
,,3,average
,,4,high
,,5,very high
KBA13_ALTERHALTER_61,share of car owners elder than 61 within the PLZ8,-1,unknown
,,0,none
,,1,very low
,,2,low
,,3,average
,,4,high
,,5,very high
KBA13_ANZAHL_PKW,number of cars in the PLZ8,…,numeric value
KBA13_AUDI,share of AUDI within the PLZ8,-1,unknown
,,0,none
,,1,very low
,,2,low
,,3,average
,,4,high
,,5,very high
KBA13_AUTOQUOTE,share of cars per household within the PLZ8,-1,unknown
,,0,none
,,1,very low
,,2,low
,,3,average
,,4,high
,,5,very high
KBA13_BJ_1999,share of cars built between 1995 and 1999 within the PLZ8,-1,unknown
,,0,none
,,1,very low
,,2,low
,,3,average
,,4,high
,,5,very high
KBA13_BJ_2000,share of cars built between 2000 and 2003 within the PLZ8,-1,unknown
,,0,none
,,1,very low
,,2,low
,,3,average
,,4,high
,,5,very high
KBA13_BJ_2004,share of cars built before 2004 within the PLZ8,-1,unknown
,,0,none
,,1,very low
,,2,low
,,3,average
,,4,high
,,5,very high
KBA13_BJ_2006,share of cars built between 2005 and 2006 within the PLZ8,-1,unknown
,,0,none
,,1,very low
,,2,low
,,3,average
,,4,high
,,5,very high
KBA13_BJ_2008,share of cars built in 2008 within the PLZ8,-1,unknown
,,0,none
,,1,very low
,,2,low
,,3,average
,,4,high
,,5,very high
KBA13_BJ_2009,share of cars built in 2009 within the PLZ8,-1,unknown
,,0,none
,,1,very low
,,2,low
,,3,average
,,4,high
,,5,very high
KBA13_BMW,share of BMW within the PLZ8,-1,unknown
,,0,none
,,1,very low
,,2,low
,,3,average
,,4,high
,,5,very high
KBA13_CCM_1000,share of cars with less than 1000ccm within the PLZ8,-1,unknown
,,0,none
,,1,very low
,,2,low
,,3,average
,,4,high
,,5,very high
KBA13_CCM_1200,share of cars with 1000ccm to 1199ccm within the PLZ8,-1,unknown
,,0,none
,,1,very low
,,2,low
,,3,average
,,4,high
,,5,very high
KBA13_CCM_1400,share of cars with 1200ccm to 1399ccm within the PLZ8,-1,unknown
,,0,none
,,1,very low
,,2,low
,,3,average
,,4,high
,,5,very high
KBA13_CCM_0_1400,share of cars with less than 1400ccm within the PLZ8,-1,unknown
,,0,none
,,1,very low
,,2,low
,,3,average
,,4,high
,,5,very high
KBA13_CCM_1500,share of cars with 1400ccm to 1499ccm within the PLZ8,-1,unknown
,,0,none
,,1,very low
,,2,low
,,3,average
,,4,high
,,5,very high
KBA13_CCM_1400_2500,share of cars with 1400ccm to 2499ccm within the PLZ8,-1,unknown
,,0,none
,,1,very low
,,2,low
,,3,average
,,4,high
,,5,very high
KBA13_CCM_1600,share of cars with 1500ccm to 1599ccm within the PLZ8,-1,unknown
,,0,none
,,1,very low
,,2,low
,,3,average
,,4,high
,,5,very high
KBA13_CCM_1800,share of cars with 1600ccm to 1799ccm within the PLZ8,-1,unknown
,,0,none
,,1,very low
,,2,low
,,3,average
,,4,high
,,5,very high
KBA13_CCM_2000,share of cars with 1800ccm to 1999ccm within the PLZ8,-1,unknown
,,0,none
,,1,very low
,,2,low
,,3,average
,,4,high
,,5,very high
KBA13_CCM_2500,share of cars with 2000ccm to 2499ccm within the PLZ8,-1,unknown
,,0,none
,,1,very low
,,2,low
,,3,average
,,4,high
,,5,very high
KBA13_CCM_2501,share of cars with more than 2500ccm within the PLZ8,-1,unknown
,,0,none
,,1,very low
,,2,low
,,3,average
,,4,high
,,5,very high
KBA13_CCM_3000,share of cars with 2500ccm to 2999ccm within the PLZ8,-1,unknown
,,0,none
,,1,very low
,,2,low
,,3,average
,,4,high
,,5,very high
KBA13_CCM_3001,share of cars with more than 3000ccm within the PLZ8,-1,unknown
,,0,none
,,1,very low
,,2,low
,,3,average
,,4,high
,,5,very high
KBA13_FAB_ASIEN,share of other Asian Manufacturers within the PLZ8,-1,unknown
,,0,none
,,1,very low
,,2,low
,,3,average
,,4,high
,,5,very high
KBA13_FAB_SONSTIGE,share of other Manufacturers within the PLZ8,-1,unknown
,,0,none
,,1,very low
,,2,low
,,3,average
,,4,high
,,5,very high
KBA13_FIAT,share of FIAT within the PLZ8,-1,unknown
,,0,none
,,1,very low
,,2,low
,,3,average
,,4,high
,,5,very high
KBA13_FORD,share of FORD within the PLZ8,-1,unknown
,,0,none
,,1,very low
,,2,low
,,3,average
,,4,high
,,5,very high
KBA13_HALTER_20,share of car owners below 21 within the PLZ8,-1,unknown
,,0,none
,,1,very low
,,2,low
,,3,average
,,4,high
,,5,very high
KBA13_HALTER_25,share of car owners between 21 and 25 within the PLZ8,-1,unknown
,,0,none
,,1,very low
,,2,low
,,3,average
,,4,high
,,5,very high
KBA13_HALTER_30,share of car owners between 26 and 30 within the PLZ8,-1,unknown
,,0,none
,,1,very low
,,2,low
,,3,average
,,4,high
,,5,very high
KBA13_HALTER_35,share of car owners between 31 and 35 within the PLZ8,-1,unknown
,,0,none
,,1,very low
,,2,low
,,3,average
,,4,high
,,5,very high
KBA13_HALTER_40,share of car owners between 36 and 40 within the PLZ8,-1,unknown
,,0,none
,,1,very low
,,2,low
,,3,average
,,4,high
,,5,very high
KBA13_HALTER_45,share of car owners between 41 and 45 within the PLZ8,-1,unknown
,,0,none
,,1,very low
,,2,low
,,3,average
,,4,high
,,5,very high
