Attribute,Description,Value,Meaning
KBA13_HALTER_50,share of car owners between 46 and 50 within the PLZ8,-1,unknown
,,0,none
,,1,very low
,,2,low
,,3,average
,,4,high
,,5,very high
KBA13_HALTER_55,share of car owners between 51 and 55 within the PLZ8,-1,unknown
,,0,none
,,1,very low
,,2,low
,,3,average
,,4,high
,,5,very high
KBA13_HALTER_60,share of car owners between 56 and 60 within the PLZ8,-1,unknown
,,0,none
,,1,very low
,,2,low
,,3,average
,,4,high
,,5,very high
KBA13_HALTER_65,share of car owners between 61 and 65 within the PLZ8,-1,unknown
,,0,none
,,1,very low
,,2,low
,,3,average
,,4,high
,,5,very high
KBA13_HALTER_66,share of car owners over 66 within the PLZ8,-1,unknown
,,0,none
,,1,very low
,,2,low
,,3,average
,,4,high
,,5,very high
KBA13_HERST_ASIEN,share of Asian Manufacturers within the PLZ8,-1,unknown
,,0,none
,,1,very low
,,2,low
,,3,average
,,4,high
,,5,very high
KBA13_HERST_AUDI_VW,share of Volkswagen & Audi within the PLZ8,-1,unknown
,,0,none
,,1,very low
,,2,low
,,3,average
,,4,high
,,5,very high
KBA13_HERST_BMW_BENZ,share of BMW & Mercedes Benz within the PLZ8,-1,unknown
,,0,none
,,1,very low
,,2,low
,,3,average
,,4,high
,,5,very high
KBA13_HERST_EUROPA,share of European cars within the PLZ8,-1,unknown
,,0,none
,,1,very low
,,2,low
,,3,average
,,4,high
,,5,very high
KBA13_HERST_FORD_OPEL,share of Ford & Opel/Vauxhall within the PLZ8,-1,unknown
,,0,none
,,1,very low
,,2,low
,,3,average
,,4,high
,,5,very high
KBA13_HERST_SONST,share of other cars within the PLZ8,-1,unknown
,,0,none
,,1,very low
,,2,low
,,3,average
,,4,high
,,5,very high
KBA13_KMH_110,share of cars with max speed 110 km/h within the PLZ8,-1,unknown
,,0,none
,,1,very low
,,2,low
,,3,average
,,4,high
,,5,very high
KBA13_KMH_140,share of cars with max speed between 110 km/h and 140km/h within the PLZ8,-1,unknown
,,0,none
,,1,very low
,,2,low
,,3,average
,,4,high
,,5,very high
KBA13_KMH_180,share of cars with max speed between 110 km/h and 180km/h within the PLZ8,-1,unknown
,,0,none
,,1,very low
,,2,low
,,3,average
,,4,high
,,5,very high
KBA13_KMH_0_140,share of cars with max speed 140 km/h within the PLZ8,-1,unknown
,,0,none
,,1,very low
,,2,low
,,3,average
,,4,high
,,5,very high
KBA13_KMH_140_210,share of cars with max speed between 140 and 210 km/h within the PLZ8,-1,unknown
,,0,none
,,1,very low
,,2,low
,,3,average
,,4,high
,,5,very high
KBA13_KMH_211,share of cars with a greater max speed than 210 km/h within the PLZ8,-1,unknown
,,0,none
,,1,very low
,,2,low
,,3,average
,,4,high
,,5,very high
KBA13_KMH_250,share of cars with max speed between 210 and 250 km/h within the PLZ8,-1,unknown
,,0,none
,,1,very low
,,2,low
,,3,average
,,4,high
,,5,very high
KBA13_KMH_251,share of cars with a greater max speed than 250 km/h within the PLZ8,-1,unknown
,,0,none
,,1,very low
,,2,low
,,3,average
,,4,high
,,5,very high
KBA13_KRSAQUOT,share of cars per household (referred to the county average) - PLZ8,-1,unknown
,,0,none
,,1,very low
,,2,low
,,3,average
,,4,high
,,5,very high
KBA13_KRSHERST_AUDI_VW,share of Volkswagen (referred to the county average) - PLZ8,-1,unknown
,,0,none
,,1,very low
,,2,low
,,3,average
,,4,high
,,5,very high
KBA13_KRSHERST_BMW_BENZ,share of BMW/Mercedes Benz (referred to the county average) - PLZ8,-1,unknown
,,0,none
,,1,very low
,,2,low
,,3,average
,,4,high
,,5,very high
KBA13_KRSHERST_FORD_OPEL,share of FORD/Opel (referred to the county average) - PLZ8,-1,unknown
,,0,none
,,1,very low
,,2,low
,,3,average
,,4,high
,,5,very high
KBA13_KRSSEG_KLEIN,share of small cars (referred to the county average) - PLZ8,-1,unknown
,,0,none
,,1,low
,,2,average
,,3,high
KBA13_KRSSEG_OBER,share of upper class cars (referred to the county average) - PLZ8,-1,unknown
,,0,none
,,1,low
,,2,average
,,3,high
KBA13_KRSSEG_VAN,share of vans (referred to the county average) - PLZ8,-1,unknown
,,0,none
,,1,low
,,2,average
,,3,high
KBA13_KRSZUL_NEU,share of newbuilt cars (referred to the county average) - PLZ8,-1,unknown
,,0,none
,,1,low
,,2,average
,,3,high
KBA13_KW_30,share of cars up to 30 KW engine power - PLZ8,-1,unknown
,,0,none
,,1,very low
,,2,low
,,3,average
,,4,high
,,5,very high
KBA13_KW_40,share of cars with an engine power between 31 and 40 KW - PLZ8,-1,unknown
,,0,none
,,1,very low
,,2,low
,,3,average
,,4,high
,,5,very high
KBA13_KW_50,share of cars with an engine power between 41 and 50 KW - PLZ8,-1,unknown
,,0,none
,,1,very low
,,2,low
,,3,average
,,4,high
,,5,very high
KBA13_KW_60,share of cars with an engine power between 51 and 60 KW - PLZ8,-1,unknown
,,0,none
,,1,very low
,,2,low
,,3,average
,,4,high
,,5,very high
KBA13_KW_0_60,share of cars up to 60 KW engine power - PLZ8,-1,unknown
,,0,none
,,1,very low
,,2,low
,,3,average
,,4,high
,,5,very high
KBA13_KW_70,share of cars with an engine power between 61 and 70 KW - PLZ8,-1,unknown
,,0,none
,,1,very low
,,2,low
,,3,average
,,4,high
,,5,very high
KBA13_KW_61_120,share of cars with an engine power between 61 and 120 KW - PLZ8,-1,unknown
,,0,none
,,1,very low
,,2,low
,,3,average
,,4,high
,,5,very high
KBA13_KW_80,share of cars with an engine power between 71 and 80 KW - PLZ8,-1,unknown
,,0,none
,,1,very low
,,2,low
,,3,average
,,4,high
,,5,very high
KBA13_KW_90,share of cars with an engine power between 81 and 90 KW - PLZ8,-1,unknown
,,0,none
,,1,very low
,,2,low
,,3,average
,,4,high
,,5,very high
KBA13_KW_110,share of cars with an engine power between 91 and 110 KW - PLZ8,-1,unknown
,,0,none
,,1,very low
,,2,low
,,3,average
,,4,high
,,5,very high
KBA13_KW_120,share of cars with an engine power between 111 and 120 KW - PLZ8,-1,unknown
,,0,none
,,1,very low
,,2,low
,,3,average
,,4,high
,,5,very high
KBA13_KW_121,share of cars with an engine power more than 120 KW - PLZ8,-1,unknown
,,0,none
,,1,very low
,,2,low
,,3,average
,,4,high
,,5,very high
KBA13_MAZDA,share of MAZDA within the PLZ8,-1,unknown
,,0,none
,,1,very low
,,2,low
,,3,average
,,4,high
,,5,very high
KBA13_MERCEDES,share of MERCEDES within the PLZ8,-1,unknown
,,0,none
,,1,very low
,,2,low
,,3,average
,,4,high
,,5,very high
KBA13_MOTOR,most common motor size within the PLZ8,-1,unknown
,,0,none
,,1,mainly small engines
,,2,mainly medium sized engines
,,3,mainly high engines
,,4,mainly very big engines
KBA13_NISSAN,share of NISSAN within the PLZ8,-1,unknown
,,0,none
,,1,very low
,,2,low
,,3,average
,,4,high
,,5,very high
KBA13_OPEL,share of OPEL within the PLZ8,-1,unknown
,,0,none
,,1,very low
,,2,low
,,3,average
,,4,high
,,5,very high
KBA13_PEUGEOT,share of PEUGEOT within the PLZ8,-1,unknown
,,0,none
,,1,very low
,,2,low
,,3,average
,,4,high
,,5,very high
KBA13_RENAULT,share of RENAULT within the PLZ8,-1,unknown
,,0,none
,,1,very low
,,2,low
,,3,average
,,4,high
,,5,very high
KBA13_SEG_GELAENDEWAGEN,share of allterrain within the PLZ8,-1,unknown
,,0,none
,,1,very low
,,2,low
,,3,average
,,4,high
,,5,very high
KBA13_SEG_GROSSRAUMVANS,share of big sized vans within the PLZ8,-1,unknown
,,0,none
,,1,very low
,,2,low
,,3,average
,,4,high
,,5,very high
KBA13_SEG_KLEINST,share of very small cars (Ford Ka etc.) in the PLZ8,-1,unknown
,,0,none
,,1,very low
,,2,low
,,3,average
,,4,high
,,5,very high
KBA13_SEG_KLEINWAGEN,"share of small and very small cars (Ford Fiesta, Ford Ka etc.) in the PLZ8",-1,unknown
,,0,none
,,1,very low
,,2,low
,,3,average
,,4,high
,,5,very high
KBA13_SEG_KOMPAKTKLASSE,share of lowe midclass cars (Ford Focus etc.) in the PLZ8,-1,unknown
,,0,none
,,1,very low
,,2,low
,,3,average
,,4,high
,,5,very high
KBA13_SEG_MINIVANS,share of minivans within the PLZ8,-1,unknown
,,0,none
,,1,very low
,,2,low
,,3,average
,,4,high
,,5,very high
KBA13_SEG_MINIWAGEN,share of minicars within the PLZ8,-1,unknown
,,0,none
,,1,very low
,,2,low
,,3,average
,,4,high
,,5,very high
KBA13_SEG_MITTELKLASSE,share of middle class cars (Ford Mondeo etc.) in the PLZ8,-1,unknown
,,0,none
,,1,very low
,,2,low
,,3,average
,,4,high
,,5,very high
KBA13_SEG_OBEREMITTELKLASSE,"share of upper middle class cars and upper class cars (BMW5er, BMW7er etc.)",-1,unknown
,,0,none
,,1,very low
,,2,low
,,3,average
,,4,high
,,5,very high
KBA13_SEG_OBERKLASSE,share of upper class cars (BMW 7er etc.) in the PLZ8,-1,unknown
,,0,none
,,1,very low
,,2,low
,,3,average
,,4,high
,,5,very high
KBA13_SEG_SONSTIGE,share of other cars within the PLZ8,-1,unknown
,,0,none
,,1,very low
,,2,low
,,3,average
,,4,high
,,5,very high
KBA13_SEG_SPORTWAGEN,share of sportscars within the PLZ8,-1,unknown
,,0,none
,,1,very low
,,2,low
,,3,average
,,4,high
,,5,very high
KBA13_SEG_UTILITIES,share of MUVs/SUVs within the PLZ8,-1,unknown
,,0,none
,,1,very low
,,2,low
,,3,average
,,4,high
,,5,very high
KBA13_SEG_VAN,share of vans within the PLZ8,-1,unknown
,,0,none
,,1,very low
,,2,low
,,3,average
,,4,high
,,5,very high
KBA13_SEG_WOHNMOBILE,share of roadmobiles within the PLZ8,-1,unknown
,,0,none
,,1,very low
,,2,low
,,3,average
,,4,high
,,5,very high
KBA13_SITZE_4,number of cars with less than 5 seats in the PLZ8,-1,unknown
,,0,none
,,1,very low
,,2,low
,,3,average
,,4,high
,,5,very high
KBA13_SITZE_5,number of cars with 5 seats in the PLZ8,-1,unknown
,,0,none
,,1,very low
,,2,low
,,3,average
,,4,high
,,5,very high
KBA13_SITZE_6,number of cars with more than 5 seats in the PLZ8,-1,unknown
,,0,none
,,1,very low
,,2,low
,,3,average
,,4,high
,,5,very high
KBA13_TOYOTA,share of TOYOTA within the PLZ8,-1,unknown
,,0,none
,,1,very low
,,2,low
,,3,average
,,4,high
,,5,very high
KBA13_VORB_0,share of cars with no preowner - PLZ8,-1,unknown
,,0,none
,,1,very low
,,2,low
,,3,average
,,4,high
,,5,very high
KBA13_VORB_1,share of cars with 1 preowner - PLZ8,-1,unknown
,,0,none
,,1,very low
,,2,low
,,3,average
,,4,high
,,5,very high
KBA13_VORB_1_2,share of cars with 1 or 2 preowner - PLZ8,-1,unknown
,,0,none
,,1,very low
,,2,low
,,3,average
,,4,high
,,5,very high
KBA13_VORB_2,share of cars with 2 preowner - PLZ8,-1,unknown
,,0,none
,,1,very low
,,2,low
,,3,average
,,4,high
,,5,very high
KBA13_VORB_3,share of cars with 3 or more preowner - PLZ8,-1,unknown
,,0,none
,,1,very low
,,2,low
,,3,average
,,4,high
,,5,very high
KBA13_VW,share of VOLKSWAGEN within the PLZ8,-1,unknown
,,0,none
,,1,very low
,,2,low
,,3,average
,,4,high
,,5,very high
KKK,purchasing power,"-1, 0",unknown
,,1,very high
,,2,high
,,3,average
,,4,low
KONSUMNAEHE,distance from a building to PoS (Point of Sale),1,"building is located in a 125 x 125m-grid cell (RA1), which is a consumption cell"
,,2,"building is located in a 250 x 250m-grid cell, which includes at least one RA1-consumption cell"
,,3,"building is located in a 500 x 500m-grid cell, which includes at least one RA1-consumption cell"
,,4,"building is located in a 1 x 1km-grid cell, which includes at least one RA1-consumption cell"
,,5,"building is located in a 2 x 2km-grid cell, which includes at least one RA1-consumption cell"
,,6,"building is located in a 10 x 10km-grid cell, which includes at least one RA1-consumption cell"
,,7,building is not located in a 10 x 10km-range to a a consumption cell
LP_FAMILIE_FEIN,familytyp fine,1,single 
,,2,couple
,,3,young single parent 
,,4,single parent with teenager
,,5,single parent with child of full age
,,6,young family 
,,7,family with teenager 
,,8,family with child of full age
,,9,shared flat
,,10,two-generational household
,,11,multi-generational household
LP_FAMILIE_GROB,familytyp rough,1,single 
,,2,couple
,,3,single parent
,,4,
,,5,
,,6,family
,,7,
,,8,
,,9,multiperson household
,,10,
,,11,
LP_LEBENSPHASE_FEIN,lifestage fine ,1,single low-income earners of younger age
,,2,single low-income earners of middle age
,,3,single average earners of younger age 
,,4,single average earners of middle age
,,5,single low-income earners of advanced age
,,6,single low-income earners at retirement age 
,,7,single average earners of advanced age
,,8,single average earners at retirement age
,,9,single independant persons
,,10,wealthy single homeowners
,,11,single homeowners of advanced age
,,12,single homeowners at retirement age
,,13,single top earners of higher age 
,,14,low-income- and average earner-couples of younger age
,,15,low-income earner-couples of higher age
,,16,average earner-couples of higher age 
,,17,independant couples
,,18,wealthy homeowner-couples of younger age 
,,19,homeowner-couples of higher age
,,20,top earner-couples of higher age
,,21,single parent low-income earners
,,22,single parent average earners
,,23,single parent high-income earners
,,24,low-income earner-families
,,25,average earner-families 
,,26,independant families
,,27,homeowner-families
,,28,top earner-families
,,29,low-income earners of younger age from mulitperson households
,,30,average earners of younger age from mulitperson households
,,31,low-income earners of higher age from mulitperson households
,,32,average earners of higher age from mulitperson households
,,33,independant persons of younger age from mulitperson households
,,34,homeowners of younger age from mulitperson households
,,35,top earners of younger age from mulitperson households
,,36,independant persons of higher age from mulitperson households
,,37,homeowners of advanced age from mulitperson households
,,38,homeowners at retirement age from mulitperson households
,,39,top earners of middle age from mulitperson households
,,40,top earners at retirement age from mulitperson households
LP_LEBENSPHASE_GROB,lifestage rough,1,single low-income- and average earners of younger age 
,,2,single low-income- and average earners of higher age 
,,3,single high-income earners
,,4,single low-income- and average earner-couples 
,,5,single high-income earner-couples
,,6,single parents
,,7,single low-income- and average earner-families
,,8,high-income earner-families
,,9,average earners of younger age from mulitperson households
,,10,low-income- and average earners of higher age from mulitperson households
,,11,high-income earners of younger age from multiperson households
,,12,high-income earners of higher age from multiperson households
LP_STATUS_FEIN,social status fine,1,typical low-income earners
,,2,orientationseeking low-income earners
,,3,aspiring low-income earners 
,,4,villagers
,,5,minimalistic high-income earners
,,6,independant workers
,,7,title holder-households
,,8,new houseowners
,,9,houseowners
,,10,top earners 
LP_STATUS_GROB,social status rough,1,low-income earners
,,2,
,,3,average earners
,,4,
,,5,
,,6,independants
,,7,
,,8,houseowners
,,9,
,,10,top earners 
MIN_GEBAEUDEJAHR,year the building was first mentioned in our database,…,numeric value
MOBI_REGIO,moving patterns,1,very high mobility
,,2,high mobility
,,3,middle mobility
,,4,low mobility
,,5,very low mobility 
,,6,none
NATIONALITAET_KZ,nationaltity (scored by prename analysis),"-1, 0",unknown
,,1,sounding german
,,2,sounding foreign
,,3,assimilated names
ONLINE_AFFINITAET,online affinity,0,none
,,1,low
,,2,middle
,,3,high
,,4,very high
,,5,highest  
ORTSGR_KLS9,size of the community,-1,unknown
,'- classified number of inhabitants,1,<= 2.000 inhabitants
,,2,2.001 to 5.000 inhabitants
,,3,5.001 to 10.000 inhabitants
,,4,10.001 to 20.000 inhabitants
,,5,20.001 to 50.000 inhabitants
,,6,50.001 to 100.000 inhabitants
,,7,100.001 to 300.000 inhabitants
,,8,300.001 to 700.000 inhabitants
,,9,> 700.000  inhabitants
OST_WEST_KZ,flag indicating the former GDR/FRG,-1,unknown
,,O,East (GDR)
,,W,West (FRG)
PLZ8_ANTG1,number of 1-2 family houses in the PLZ8,-1,unknown
,,0,none
,,1,low share
,,2,average share
,,3,high share
,,4,very high share
PLZ8_ANTG2,number of 3-5 family houses in the PLZ8,-1,unknown
,,0,none
,,1,low share
,,2,average share
,,3,high share
,,4,very high share
PLZ8_ANTG3,number of 6-10 family houses in the PLZ8,-1,unknown
,,0,none
,,1,low share
,,2,average share
,,3,high share
PLZ8_ANTG4,number of >10 family houses in the PLZ8,-1,unknown
,,0,none
,,1,low share
,,2,high share
PLZ8_BAUMAX,most common building-type within the PLZ8,1,mainly 1-2 family homes
,,2,mainly 3-5 family homes
,,3,mainly 6-10 family homes
,,4,mainly >10 family homes
,,5,mainly business building
PLZ8_GBZ,number of buildings within the PLZ8,-1,unknown
,,1,less than 60 buildings
,,2,60-129 buildings
,,3,130-299 buildings
,,4,300-449 buildings
,,5,more than 449 buildings
PLZ8_HHZ,number of households within the PLZ8,-1,unknown
,,1,less than 130 households
,,2,131-299 households
,,3,300-599 households
,,4,600-849 households
,,5,more than 849 households
PRAEGENDE_JUGENDJAHRE,dominating movement in the person's youth (avantgarde or mainstream),"-1, 0",unknown
,,1,"40ies - war years (Mainstream, O+W)"
,,2,"40ies - reconstruction years (Avantgarde, O+W)"
,,3,"50ies - economic miracle (Mainstream, O+W)"
,,4,"50ies - milk bar / Individualisation (Avantgarde, O+W)"
,,5,"60ies - economic miracle (Mainstream, O+W)"
,,6,"60ies - generation 68 / student protestors (Avantgarde, W)"
,,7,"60ies - opponents to the building of the Wall (Avantgarde, O)"
,,8,"70ies - family orientation (Mainstream, O+W)"
,,9,"70ies - peace movement (Avantgarde, O+W)"
,,10,"80ies - Generation Golf (Mainstream, W)"
,,11,"80ies - ecological awareness (Avantgarde, W)"
,,12,"80ies - FDJ / communist party youth organisation (Mainstream, O)"
,,13,"80ies - Swords into ploughshares (Avantgarde, O)"
,,14,"90ies - digital media kids (Mainstream, O+W)"
,,15,"90ies - ecological awareness (Avantgarde, O+W)"
REGIOTYP,neighbourhood ,"-1, 0",unknown
,,1,upper class
,,2,conservatives
,,3,upper middle class
,,4,middle class
,,5,lower middle class
,,6,traditional workers
,,7,marginal groups
RELAT_AB,share of unemployed in relation to the county the community belongs to,1,very low
,,2,low
,,3,average
,,4,high
,,5,very high
,,"-1, 9",unknown
RETOURTYP_BK_S,return type,0,unknown
,,1,influenceable Crazy-Shopper
,,2,demanding Heavy-Returner
,,3,incentive-receptive Normal-Returner
,,4,conservative Low-Returner
,,5,determined Minimal-Returner
SEMIO_DOM,affinity indicating in what way the person is dominant minded,"-1, 9",unknown
,,1,highest affinity
,,2,very high affinity
,,3,high affinity
,,4,average affinity
,,5,low affinity
,,6,very low affinity
,,7,lowest affinity
SEMIO_ERL,affinity indicating in what way the person is eventful orientated,"-1, 9",unknown
,,1,highest affinity
,,2,very high affinity
,,3,high affinity
,,4,average affinity
,,5,low affinity
,,6,very low affinity
,,7,lowest affinity
SEMIO_FAM,affinity indicating in what way the person is familiar minded,"-1, 9",unknown
,,1,highest affinity
,,2,very high affinity
,,3,high affinity
,,4,average affinity
,,5,low affinity
,,6,very low affinity
,,7,lowest affinity
SEMIO_KAEM,affinity indicating in what way the person is of a fightfull attitude,"-1, 9",unknown
,,1,highest affinity
,,2,very high affinity
,,3,high affinity
,,4,average affinity
,,5,low affinity
,,6,very low affinity
,,7,lowest affinity
SEMIO_KRIT,affinity indicating in what way the person is critical minded,"-1, 9",unknown
,,1,highest affinity
,,2,very high affinity
,,3,high affinity
,,4,average affinity
,,5,low affinity
,,6,very low affinity
,,7,lowest affinity
SEMIO_KULT,affinity indicating in what way the person is cultural minded,"-1, 9",unknown
,,1,highest affinity
,,2,very high affinity
,,3,high affinity
,,4,average affinity
,,5,low affinity
,,6,very low affinity
,,7,lowest affinity
SEMIO_LUST,affinity indicating in what way the person is sensual minded,"-1, 9",unknown
,,1,highest affinity
,,2,very high affinity
,,3,high affinity
,,4,average affinity
,,5,low affinity
,,6,very low affinity
,,7,lowest affinity
SEMIO_MAT,affinity indicating in what way the person is material minded,"-1, 9",unknown
,,1,highest affinity
,,2,very high affinity
,,3,high affinity
,,4,average affinity
,,5,low affinity
,,6,very low affinity
,,7,lowest affinity
SEMIO_PFLICHT,affinity indicating in what way the person is dutyfull traditional minded,"-1, 9",unknown
,,1,highest affinity
,,2,very high affinity
,,3,high affinity
,,4,average affinity
,,5,low affinity
,,6,very low affinity
,,7,lowest affinity
SEMIO_RAT,affinity indicating in what way the person is of a rational mind,"-1, 9",unknown
,,1,highest affinity
,,2,very high affinity
,,3,high affinity
,,4,average affinity
,,5,low affinity
,,6,very low affinity
,,7,lowest affinity
SEMIO_REL,affinity indicating in what way the person is religious,"-1, 9",unknown
,,1,highest affinity
,,2,very high affinity
,,3,high affinity
,,4,average affinity
,,5,low affinity
,,6,very low affinity
,,7,lowest affinity
SEMIO_SOZ,affinity indicating in what way the person is social minded,"-1, 9",unknown
,,1,highest affinity
,,2,very high affinity
,,3,high affinity
,,4,average affinity
,,5,low affinity
,,6,very low affinity
,,7,lowest affinity
SEMIO_TRADV,affinity indicating in what way the person is traditional minded,"-1, 9",unknown
,,1,highest affinity
,,2,very high affinity
,,3,high affinity
,,4,average affinity
,,5,low affinity
,,6,very low affinity
,,7,lowest affinity
SEMIO_VERT,affinity indicating in what way the person is dreamily,"-1, 9",unknown
,,1,highest affinity
,,2,very high affinity
,,3,high affinity
,,4,average affinity
,,5,low affinity
,,6,very low affinity
,,7,lowest affinity
SHOPPER_TYP,shopping typology,-1,unknown
,,0,external supplied hedonists 
,,1,Shopping-stressed
,,2,family-shopper
,,3,demanding shopper
SOHO_FLAG,small office/home office flag,-1,unknown
,,0,no small office/home office
,,1,small office/home office
TITEL_KZ,flag whether this person holds an academic title,"-1, 0",unknown
,,1,Dr.
,,2,Dr. Dr.
,,3,Prof.
,,4,Prof. Dr.
,,5,other
VERS_TYP,insurance typology ,-1,unknown
,,1,social-safety driven
,,2,individualistic-accepting risks
WOHNDAUER_2008,length of residence,"-1, 0",unknown
,,1,length of residence below 1 year
,,2,length of residence 1-2 years
,,3,length of residence 2-3 years
,,4,length of residence 3-4 years
,,5,length of residence 4-5 years
,,6,length of residence 5-6 years
,,7,length of residence 6-7 years
,,8,length of residence 7-10 years
,,9,length of residence more than 10 years
WOHNLAGE,residential-area ,-1,unknown
,,0,no score calculated
,,1,very good neighbourhood
,,2,good neighbourhood
,,3,average neighbourhood
,,4,poor neighbourhood
,,5,very poor neighbourhood
,,7,rural neighbourhood
,,8,new building in rural neighbourhood
WACHSTUMSGEBIET_NB,growing area (population growth in the last 5 years),"-1, 0",unknown
,,1,very high influx
,,2,high influx
,,3,middle influx
,,4,low influx
,,5,development area
W_KEIT_KIND_HH,likelihood of a child present in this household,"-1, 0",unknown
,,1,most likely
,,2,very likely
,,3,likely
,,4,average
,,5,unlikely
,,6,very unlikely
ZABEOTYP,typification of energy consumers,"-1, 9",unknown
,,1,green
,,2,smart
,,3,fair supplied
,,4,price driven
,,5,seeking orientation
,,6,indifferent
